sample	lane	machine
HT007_MK4-20.sort.bam	3563_7	X10
HT011_IA2W-37.sort.bam	3570_8	X10
HT013_SD2W-18.sort.bam	3570_8	X10
HT014_IA2W-16.sort.bam	3570_8	X10
HT023_IA1A-2.sort.bam	3577_4	X10
HT023_IA1A-2.sort.bam	3564_4	X10
HT027_P-37.sort.bam	3577_4	X10
HT027_P-37.sort.bam	3564_4	X10
HT033N_IA2W-38.sort.bam	3570_2	X10
HT038_MK1-31.sort.bam	3577_4	X10
HT038_MK1-31.sort.bam	3564_4	X10
HT040_MK6-19.sort.bam	3563_7	X10
HT054_IA2A-1.sort.bam	3577_4	X10
HT054_IA2A-1.sort.bam	3564_4	X10
HT088_MK4-29.sort.bam	3577_4	X10
HT088_MK4-29.sort.bam	3564_4	X10
HT089_MK5-27.sort.bam	3563_7	X10
HT091_MK6-22.sort.bam	3577_4	X10
HT091_MK6-22.sort.bam	3564_4	X10
HT100_SK1W-29.sort.bam	3392_5	HiSeq2500
HT103_IA2W-39.sort.bam	3392_5	HiSeq2500
HT104_KS2W-15R.sort.bam	3392_6	HiSeq2500
HT105_MK2-2.sort.bam	3392_6	HiSeq2500
HT107_MK3-16.sort.bam	3392_6	HiSeq2500
HT108_MK5-2.sort.bam	3392_6	HiSeq2500
HT109_MK5-18.sort.bam	3392_6	HiSeq2500
HT110_MK5-24.sort.bam	3392_6	HiSeq2500
HT111_MK6-23.sort.bam	3577_4	X10
HT111_MK6-23.sort.bam	3564_4	X10
HT112_MK8-21.sort.bam	3392_6	HiSeq2500
HT115_MO1A-23.sort.bam	3392_6	HiSeq2500
HT118_SD2W-19.sort.bam	3441_7	HiSeq2500
HT118_SD2W-19.sort.bam	3392_6	HiSeq2500
HT120_SK1A-22STAR.sort.bam	3392_6	HiSeq2500
HT124_SK1W-36.sort.bam	3392_7	HiSeq2500
HT125_MB1W-20.sort.bam	3392_7	HiSeq2500
HT126_MK1-6.sort.bam	3392_7	HiSeq2500
HT127_MK1-23.sort.bam	3392_7	HiSeq2500
HT128_MK1-25.sort.bam	3392_7	HiSeq2500
HT129_MK2-3.sort.bam	3392_7	HiSeq2500
HT130_MK2-17.sort.bam	3563_7	X10
HT131_MK2-32.sort.bam	3563_7	X10
HT133_MK5-14.sort.bam	3392_7	HiSeq2500
HT134_MK5-25.sort.bam	3392_7	HiSeq2500
HT135_MK6-3.sort.bam	3392_7	HiSeq2500
HT136_MK7-1.sort.bam	3441_7	HiSeq2500
HT136_MK7-1.sort.bam	3392_8	HiSeq2500
HT137_MK7-25.sort.bam	3392_8	HiSeq2500
HT138_MK8-12.sort.bam	3563_7	X10
HT139_MO1A-26.sort.bam	3563_7	X10
HT140_MO1W-2R.sort.bam	3392_8	HiSeq2500
HT141_MO1W-11.sort.bam	3392_8	HiSeq2500
HT142_MO1W-15.sort.bam	3392_8	HiSeq2500
HT143_ND1A-26.sort.bam	3570_2	X10
HT146_SD2W-5.sort.bam	3392_8	HiSeq2500
HT147_SK1A-5.sort.bam	3392_8	HiSeq2500
HT149_IA2W-29.sort.bam	3392_8	HiSeq2500
HT15_Man-8.sort.bam	3441_5	HiSeq2500
HT15_Man-8.sort.bam	3392_1	HiSeq2500
HT150_MK2-12.sort.bam	3392_8	HiSeq2500
HT151_MK2-21.sort.bam	3392_8	HiSeq2500
HT152_MK8-23.sort.bam	3563_7	X10
HT153_MK3-27.sort.bam	3441_5	HiSeq2500
HT153_MK3-27.sort.bam	3393_1	HiSeq2500
HT154_MK3-33.sort.bam	3393_1	HiSeq2500
HT156_MK4-13.sort.bam	3393_1	HiSeq2500
HT157_MK7-6.sort.bam	3441_7	HiSeq2500
HT157_MK7-6.sort.bam	3393_1	HiSeq2500
HT158_MK7-14.sort.bam	3441_5	HiSeq2500
HT158_MK7-14.sort.bam	3393_1	HiSeq2500
HT159_MK7-17.sort.bam	3393_1	HiSeq2500
HT16_MK6-7.sort.bam	3392_1	HiSeq2500
HT160_MK7-23.sort.bam	3441_7	HiSeq2500
HT160_MK7-23.sort.bam	3393_1	HiSeq2500
HT161_MK8-7.sort.bam	3441_5	HiSeq2500
HT161_MK8-7.sort.bam	3393_1	HiSeq2500
HT162_MK8-31.sort.bam	3393_1	HiSeq2500
HT163_MO1A-17.sort.bam	3441_6	HiSeq2500
HT163_MO1A-17.sort.bam	3393_1	HiSeq2500
HT164_MO1W-3.sort.bam	3563_7	X10
HT165_MO1W-16.sort.bam	3441_7	HiSeq2500
HT165_MO1W-16.sort.bam	3393_2	HiSeq2500
HT167_SD2A-7.sort.bam	3441_5	HiSeq2500
HT167_SD2A-7.sort.bam	3393_2	HiSeq2500
HT168_SD2A-17.sort.bam	3393_2	HiSeq2500
HT169_SD2A-31.sort.bam	3441_5	HiSeq2500
HT169_SD2A-31.sort.bam	3393_2	HiSeq2500
HT170_SD2W-14.sort.bam	3441_5	HiSeq2500
HT170_SD2W-14.sort.bam	3393_2	HiSeq2500
HT171_SK1A-11.sort.bam	3441_7	HiSeq2500
HT171_SK1A-11.sort.bam	3393_2	HiSeq2500
HT172_SK1W-Q.sort.bam	3441_7	HiSeq2500
HT172_SK1W-Q.sort.bam	3393_2	HiSeq2500
HT174_MK1-9.sort.bam	3441_5	HiSeq2500
HT174_MK1-9.sort.bam	3393_2	HiSeq2500
HT175_MK1-16.sort.bam	3441_7	HiSeq2500
HT175_MK1-16.sort.bam	3393_2	HiSeq2500
HT176_MK2-7.sort.bam	3441_7	HiSeq2500
HT176_MK2-7.sort.bam	3393_2	HiSeq2500
HT177_MK2-27.sort.bam	3393_3	HiSeq2500
HT178_MK3-40.sort.bam	3570_8	X10
HT181_MK5-13.sort.bam	3441_7	HiSeq2500
HT181_MK5-13.sort.bam	3393_3	HiSeq2500
HT182_MK5-17.sort.bam	3441_5	HiSeq2500
HT182_MK5-17.sort.bam	3393_3	HiSeq2500
HT183_MK6-11.sort.bam	3441_7	HiSeq2500
HT183_MK6-11.sort.bam	3393_3	HiSeq2500
HT185_MK8-2.sort.bam	3441_7	HiSeq2500
HT185_MK8-2.sort.bam	3393_3	HiSeq2500
HT186_MK8-13.sort.bam	3441_5	HiSeq2500
HT186_MK8-13.sort.bam	3393_3	HiSeq2500
HT187_MK8-28.sort.bam	3441_5	HiSeq2500
HT187_MK8-28.sort.bam	3393_3	HiSeq2500
HT188_MO1A-27.sort.bam	3441_7	HiSeq2500
HT188_MO1A-27.sort.bam	3393_3	HiSeq2500
HT190_ND1A-20.sort.bam	3441_5	HiSeq2500
HT190_ND1A-20.sort.bam	3393_3	HiSeq2500
HT191_ND1A-33.sort.bam	3441_5	HiSeq2500
HT191_ND1A-33.sort.bam	3393_3	HiSeq2500
HT192_ND1A-40.sort.bam	3392_3	HiSeq2500
HT194_SD2W-15.sort.bam	3441_6	HiSeq2500
HT194_SD2W-15.sort.bam	3393_4	HiSeq2500
HT196_SK1W-1.sort.bam	3441_7	HiSeq2500
HT196_SK1W-1.sort.bam	3393_4	HiSeq2500
HT197_Man-10.sort.bam	3563_7	X10
HT199_MK1-14.sort.bam	3393_4	HiSeq2500
HT200_MK2-13.sort.bam	3393_4	HiSeq2500
HT202_MK4-27.sort.bam	3393_4	HiSeq2500
HT203_MK5-7.sort.bam	3441_6	HiSeq2500
HT203_MK5-7.sort.bam	3393_7	HiSeq2500
HT204_MK5-19.sort.bam	3393_4	HiSeq2500
HT205_MK7-8.sort.bam	3393_4	HiSeq2500
HT206_MK8-10.sort.bam	3393_4	HiSeq2500
HT207_MK8-27.sort.bam	3393_4	HiSeq2500
HT208_MK3-36.sort.bam	3393_4	HiSeq2500
HT209_MO1A-12.sort.bam	3441_6	HiSeq2500
HT209_MO1A-12.sort.bam	3393_5	HiSeq2500
HT210_MO1A-25.sort.bam	3441_7	HiSeq2500
HT210_MO1A-25.sort.bam	3393_5	HiSeq2500
HT211_MO1W-39.sort.bam	3441_5	HiSeq2500
HT211_MO1W-39.sort.bam	3393_5	HiSeq2500
HT212_ND1A-8.sort.bam	3393_5	HiSeq2500
HT213_ND1W-20.sort.bam	3441_6	HiSeq2500
HT213_ND1W-20.sort.bam	3393_5	HiSeq2500
HT215_SD2A-1.sort.bam	3441_6	HiSeq2500
HT215_SD2A-1.sort.bam	3393_5	HiSeq2500
HT216_SD2A-32.sort.bam	3441_5	HiSeq2500
HT216_SD2A-32.sort.bam	3393_5	HiSeq2500
HT217_SD2W-21.sort.bam	3441_6	HiSeq2500
HT217_SD2W-21.sort.bam	3393_5	HiSeq2500
HT218_SD2W-30.sort.bam	3441_6	HiSeq2500
HT218_SD2W-30.sort.bam	3393_5	HiSeq2500
HT219_SD2W-38.sort.bam	3441_6	HiSeq2500
HT219_SD2W-38.sort.bam	3393_5	HiSeq2500
