site	sample	technology	lanes	depth	percent	type	value
HanXRQChr00c0001.5275	Q87_MK3-2.sort.bam	X10	3570_2	5	0.935031293486499	within_lane	1
HanXRQChr00c0001.5275	Q87_MK3-2.sort.bam	X10	3570_2	5	0.935031293486499	control	1
HanXRQChr00c0001.5275	QPC1_SK1W-37.sort.bam	X10	3570_3	5	0.709524579043661	within_lane	1
HanXRQChr00c0001.5275	QPC1_SK1W-37.sort.bam	X10	3570_3	5	0.709524579043661	control	1
HanXRQChr00c0001.5275	Q082_KS2A-14.sort.bam	X10	3577_7;3564_7	9	0.938056444908681	within_lane	1
HanXRQChr00c0001.5275	Q082_KS2A-14.sort.bam	X10	3577_7;3564_7	9	0.938056444908681	control	0
HanXRQChr00c0001.5275	HT197_Man-10.sort.bam	X10	3563_7	5	0.935031293486499	within_lane	1
HanXRQChr00c0001.5275	HT197_Man-10.sort.bam	X10	3563_7	5	0.935031293486499	control	1
HanXRQChr00c0001.5275	HT331_P-10.sort.bam	X10	3577_3;3564_3	5	0.938056444908681	within_lane	1
HanXRQChr00c0001.5275	HT331_P-10.sort.bam	X10	3577_3;3564_3	5	0.938056444908681	control	1
HanXRQChr00c0001.5275	HT9_MK6-20.sort.bam	HiSeq2500	3392_4	15	0.915624029820238	within_lane	1
HanXRQChr00c0001.5275	HT9_MK6-20.sort.bam	HiSeq2500	3392_4	15	0.915624029820238	control	1
HanXRQChr00c0001.5326	HT088_MK4-29.sort.bam	X10	3577_4;3564_4	5	0.217218547086362	within_lane	0
HanXRQChr00c0001.5326	HT088_MK4-29.sort.bam	X10	3577_4;3564_4	5	0.217218547086362	control	0
HanXRQChr00c0001.5335	Q87_MK3-2.sort.bam	X10	3570_2	5	0.282373923493337	within_lane	1
HanXRQChr00c0001.5335	Q87_MK3-2.sort.bam	X10	3570_2	5	0.282373923493337	control	0
HanXRQChr00c0001.5335	HT197_Man-10.sort.bam	X10	3563_7	7	0.282373923493337	within_lane	1
HanXRQChr00c0001.5335	HT197_Man-10.sort.bam	X10	3563_7	7	0.282373923493337	control	1
HanXRQChr00c0001.5384	HT9_MK6-20.sort.bam	HiSeq2500	3392_4	10	0.443134287572683	within_lane	0
HanXRQChr00c0001.5384	HT9_MK6-20.sort.bam	HiSeq2500	3392_4	10	0.443134287572683	control	0
HanXRQChr00c0001.9265	HT335_SD1A-20.sort.bam	X10	3577_3;3564_3	5	0.784621094156204	within_lane	1
HanXRQChr00c0001.9265	HT335_SD1A-20.sort.bam	X10	3577_3;3564_3	5	0.784621094156204	control	0
